chip,dtype,profile,n,d,g,o,repeat,fit_s,admm_iters,nll,max_kkt,status
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,2,1.607,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,0,19.533,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,3,1.61,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,4,1.608,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,5,1.611,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,1,5.003,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,5,32.5,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,6,1.609,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,7,1.611,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,8,1.607,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,2,5.012,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,9,1.608,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,10,1.608,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,32,6,13,78,11,1.607,5,-9861.686553995154,4476.680475837144,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,3,5.038,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,256,6,13,78,11,24.036,6,-110333.328125,121678.453125,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,4,5.038,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,3,73.559,7,-238059.671875,220637.296875,ok
